Word,Old Testament,New Testament,Apocrypha,Total
agee,1,0,0,1
ages,0,4,6,10
aggeus,0,0,3,3
ago,5,8,2,15
agone,1,0,0,1
agony,0,1,3,4
agree,0,7,4,11
agreeable,0,0,1,1
agreeably,0,0,1,1
agreed,1,7,5,13
agreeing,0,0,1,1
agreement,5,1,2,8
agreeth,0,2,0,2
agrippa,0,12,0,12
aground,0,1,0,1
ague,1,0,0,1
agur,1,0,0,1
ah,14,1,0,15
aha,7,0,0,7
ahab,81,0,0,81
ahab's,2,0,0,2
aharah,1,0,0,1
aharhel,1,0,0,1
ahasai,1,0,0,1
ahasbai,1,0,0,1
ahasuerus,29,0,0,29
ahasuerus',1,0,0,1
ahava,3,0,0,3
ahaz,40,0,0,40
ahaziah,30,0,0,30
ahban,1,0,0,1
aher,1,0,0,1
ahi,2,0,0,2
ahiah,4,0,0,4
ahiam,2,0,0,2
ahian,1,0,0,1
ahiezer,6,0,0,6
ahihud,2,0,0,2
ahijah,19,0,0,19
ahikam,20,0,0,20
ahilud,5,0,0,5
ahimaaz,15,0,0,15
ahiman,4,0,0,4
ahimelech,14,0,0,14
ahimelech's,1,0,0,1
ahimoth,1,0,0,1
ahinadab,1,0,0,1
ahinoam,7,0,0,7
ahio,6,0,0,6
ahira,5,0,0,5
ahiram,1,0,0,1
ahiramites,1,0,0,1
ahisamach,3,0,0,3
ahishahar,1,0,0,1
ahishar,1,0,0,1
ahithophel,17,0,0,17
ahitub,15,0,0,15
ahlab,1,0,0,1
ahlai,2,0,0,2
ahoah,1,0,0,1
ahohite,5,0,0,5
aholah,4,0,0,4
aholiab,5,0,0,5
aholibah,5,0,0,5
aholibamah,7,0,0,7
ahumai,1,0,0,1
ahuzam,1,0,0,1
ahuzzath,1,0,0,1
ai,30,0,0,30
aiah,5,0,0,5
aiath,1,0,0,1
aid,0,0,16,16
aided,1,0,0,1
aija,1,0,0,1
aijalon,7,0,0,7
ail,0,0,4,4
ailed,1,0,0,1
aileth,7,0,2,9
aim,0,0,1,1
aiming,0,0,1,1
ain,5,0,0,5
air,22,17,14,53
airus,0,0,1,1
ajah,1,0,0,1
ajalon,3,0,0,3
akan,1,0,0,1
akkub,8,0,0,8
akrabbim,2,0,0,2
alabaster,0,3,0,3
alameth,1,0,0,1
alammelech,1,0,0,1
alamoth,1,0,0,1
alarm,9,0,2,11
alas,13,3,0,16
albeit,1,1,7,9
alcimus,0,0,15,15
alema,0,0,1,1
alemeth,3,0,0,3
alexander,0,5,24,29
alexander's,0,0,3,3
alexandria,0,3,0,3
alexandrians,0,1,0,1
algum,3,0,0,3
aliah,1,0,0,1
alian,1,0,0,1
alien,5,0,0,5
alienate,1,0,0,1
alienated,4,2,1,7
aliens,1,2,1,4
alight,0,0,1,1
alike,10,1,3,14
alive,68,18,14,100
all,3681,982,943,5606
alleging,0,1,1,2
allegory,0,1,0,1
alleluia,0,4,1,5
allied,1,0,1,2
allom,0,0,1,1
allon,2,0,0,2
allonbachuth,1,0,0,1
allow,0,3,0,3
